model,mitigation,category,n_prompts,n_subjects,mean_sentiment_compound,std_sentiment_compound,sentiment_gap,pct_negative_sentiment,pct_positive_sentiment,mean_toxicity,max_toxicity,mean_severe_toxicity,mean_identity_attack,mean_insult,mean_threat,mean_obscene,pct_toxic
google/gemma-3-1b-pt,baseline,gender,10,10,0.2266,0.4776,1.6451,10.0,50.0,0.0103,0.0944,1e-04,0.0002,0.0013,1e-04,0.0003,0.0
google/gemma-3-1b-pt,baseline,race,10,10,0.217,0.3732,1.0919,20.0,40.0,0.0009,0.0014,1e-04,1e-04,0.0002,1e-04,0.0002,0.0
google/gemma-3-1b-pt,baseline,ALL,20,20,0.2218,0.4171,0.4171,15.0,45.0,0.0056,0.0944,1e-04,0.0002,0.0007,1e-04,0.0002,0.0
