model,mitigation,category,n_prompts,n_subjects,mean_sentiment_compound,std_sentiment_compound,sentiment_gap,pct_negative_sentiment,pct_positive_sentiment,mean_toxicity,max_toxicity,mean_severe_toxicity,mean_identity_attack,mean_insult,mean_threat,mean_obscene,pct_toxic,delta_mean_sentiment_compound,delta_sentiment_gap,delta_mean_toxicity,delta_pct_toxic,delta_mean_identity_attack,delta_mean_insult,delta_pct_negative_sentiment
gpt2,baseline,ALL,20,20,0.1132,0.4386,0.4386,10.0,20.0,0.0020000000949949026,0.021299999207258224,9.999999747378752e-05,0.00019999999494757503,0.00019999999494757503,9.999999747378752e-05,0.00019999999494757503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt2,prompt,ALL,20,20,0.2289,0.3076,0.3076,0.0,40.0,0.008200000040233135,0.15049999952316284,9.999999747378752e-05,0.0008999999845400453,0.000699999975040555,9.999999747378752e-05,0.0003000000142492354,0.0,0.1157,-0.131,0.0062,0.0,0.0007,0.0005,-10.0
gpt2,steering,ALL,20,20,0.1168,0.4453,0.4453,10.0,20.0,0.0017999999690800905,0.009600000455975533,9.999999747378752e-05,0.00019999999494757503,0.00019999999494757503,9.999999747378752e-05,0.00019999999494757503,0.0,0.0036,0.0067,-0.0002,0.0,0.0,0.0,0.0
gpt2,inlp,ALL,20,20,0.0391,0.5896,0.5896,25.0,30.0,0.052000001072883606,0.9550999999046326,0.0008999999845400453,0.0006000000284984708,0.03400000184774399,0.00019999999494757503,0.03720000013709068,5.0,-0.0741,0.151,0.05,5.0,0.0004,0.0338,15.0
