model,mitigation,category,n_prompts,n_subjects,mean_sentiment_compound,std_sentiment_compound,sentiment_gap,pct_negative_sentiment,pct_positive_sentiment,mean_toxicity,max_toxicity,mean_severe_toxicity,mean_identity_attack,mean_insult,mean_threat,mean_obscene,pct_toxic
gpt2,baseline,gender,100,97,0.1985,0.4123,1.7993,8.0,38.0,0.0028,0.1279,1e-04,0.0002,0.0004,1e-04,0.0003,0.0
gpt2,baseline,race,100,98,0.1932,0.447,1.9299,12.0,38.0,0.0146,0.9981,0.0043,0.001,0.011,0.0002,0.0125,1.0
gpt2,baseline,ALL,200,194,0.1959,0.4289,0.4282,10.0,38.0,0.0087,0.9981,0.0022,0.0006,0.0057,0.0002,0.0064,0.5
